id,fname,sname,fee_earner,type,matter_id,last_contact,first_contact,rnd
W91,robert,downey,ABC,B1,AB1324,01/10/2018,06/12/2017,299
W93,natasha,romanov,ABC,A1,AB1326,03/10/2018,05/09/2017,393
W94,wanda,maximoff,ABC,C1,AB1327,04/10/2018,14/11/2017,324
W95,maria,hill,ABC,B1,AB1328,05/10/2018,29/08/2018,37
W96,philip,coulson,ABC,B2,AB1329,06/10/2018,29/06/2017,464
W97,fred,flintstone,CDE,B1,AB1330,07/10/2018,20/05/2018,140
W98,wilma,flintstone,CDE,C1,AB1331,08/10/2018,29/08/2017,405
W99,barney,rubble,CDE,B2,AB1332,09/10/2018,21/08/2018,49
W100,betty,rubble,CDE,B1,AB1333,10/10/2018,10/10/2017,365
W101,nicholas,fury,CDE,C1,AB1334,11/10/2018,14/02/2018,239
W102,bruce,banner,CDE,B2,AB1335,12/10/2018,26/10/2017,351
W103,robert,downey,CDE,B1,AB1336,02/03/2017,04/09/2016,179
W105,natasha,romanov,CDE,B2,AB1338,03/08/2018,22/03/2017,499
W106,wanda,maximoff,CDE,B1,AB1339,01/10/2018,09/08/2018,53
W107,maria,hill,CDE,C1,AB1340,02/10/2018,02/05/2018,153
W108,philip,coulson,CDE,B2,AB1341,03/10/2018,12/08/2017,417
W109,fred,flintstone,CDE,B1,AB1342,04/10/2018,07/03/2017,576
W110,wilma,flintstone,CDE,C1,AB1343,05/10/2018,16/11/2017,323
W111,barney,rubble,CDE,B2,AB1344,06/10/2018,26/12/2017,284
W112,betty,rubble,CDE,B1,AB1345,07/10/2018,21/07/2017,443
W113,nicholas,fury,CDE,C1,AB1346,08/10/2018,27/05/2017,499
W114,bruce,banner,CDE,B2,AB1347,09/10/2018,16/07/2018,85
W115,robert,downey,EFG,B2,AB1348,10/10/2018,01/05/2018,162
W117,natasha,romanov,EFG,D2,AB1350,12/10/2018,01/06/2018,133
W118,wanda,maximoff,EFG,B2,AB1351,02/03/2017,19/08/2015,561
W119,maria,hill,EFG,A1,AB1352,04/07/2018,14/02/2017,505
W120,philip,coulson,EFG,D2,AB1353,03/08/2018,16/02/2017,533
W121,fred,flintstone,EFG,B2,AB1354,01/10/2018,03/03/2018,212
W122,wilma,flintstone,EFG,A1,AB1355,02/10/2018,08/11/2017,328
W123,barney,rubble,EFG,D2,AB1356,03/10/2018,05/04/2017,546
W124,betty,rubble,EFG,B2,AB1357,04/10/2018,11/09/2017,388
W125,nicholas,fury,EFG,A1,AB1358,05/10/2018,21/09/2017,379
W126,bruce,banner,EFG,D2,AB1359,06/10/2018,11/10/2017,360
W127,robert,downey,EFG,B2,AB1360,07/10/2018,10/01/2018,270
W128,loki,laufeyson,EFG,A1,AB1361,08/10/2018,24/02/2018,226
W129,natasha,romanov,EFG,D2,AB1362,09/10/2018,24/04/2017,533
W130,wanda,maximoff,EFG,B2,AB1363,10/10/2018,02/03/2018,222
W131,maria,hill,EFG,A1,AB1364,11/10/2018,16/03/2018,209
W132,philip,coulson,EFG,D2,AB1365,12/10/2018,31/05/2018,134
W133,fred,flintstone,HIJ,A1,AB1366,02/03/2017,06/11/2016,116
W134,wilma,flintstone,HIJ,C1,AB1367,04/07/2018,19/10/2017,258
W135,barney,rubble,HIJ,A1,AB1368,03/08/2018,17/04/2018,108
W136,betty,rubble,HIJ,C1,AB1369,01/10/2018,05/12/2017,300
W137,nicholas,fury,HIJ,A1,AB1370,02/10/2018,19/09/2017,378
W138,bruce,banner,HIJ,C1,AB1371,03/10/2018,09/06/2017,481
W139,robert,downey,HIJ,A1,AB1372,04/10/2018,02/08/2017,428
W140,loki,laufeyson,HIJ,C1,AB1373,05/10/2018,09/03/2018,210
W141,natasha,romanov,HIJ,A1,AB1374,06/10/2018,13/04/2018,176
W142,wanda,maximoff,HIJ,C1,AB1375,07/10/2018,14/06/2017,480
W143,maria,hill,HIJ,A1,AB1376,08/10/2018,10/07/2017,455
W144,philip,coulson,HIJ,C1,AB1377,09/10/2018,12/04/2018,180
W145,fred,flintstone,ABC,B1,AB1378,10/10/2018,28/07/2018,74
W146,wilma,flintstone,ABC,B2,AB1379,11/10/2018,31/07/2018,72
W147,barney,rubble,CDE,B2,AB1380,12/10/2018,24/12/2017,292
W148,betty,rubble,EFG,A1,AB1381,02/03/2017,26/05/2016,280
W149,nicholas,fury,EFG,D2,AB1382,04/07/2018,22/04/2018,73
W150,bruce,banner,HIJ,C1,AB1383,03/08/2018,15/07/2017,384
W151,robert,downey,HIJ,A1,AB1384,01/10/2018,12/10/2017,354
W152,loki,laufeyson,HIJ,C1,AB1385,02/10/2018,06/05/2018,149
W153,natasha,romanov,EFG,B2,AB1386,03/10/2018,15/05/2017,506
W154,wanda,maximoff,EFG,A1,AB1387,04/10/2018,02/09/2018,32
W155,maria,hill,EFG,D2,AB1388,05/10/2018,20/08/2018,46
W156,philip,coulson,CDE,B1,AB1389,06/10/2018,27/03/2017,558
W157,fred,flintstone,CDE,C1,AB1390,07/10/2018,29/06/2018,100
W158,wilma,flintstone,CDE,B2,AB1391,08/10/2018,07/04/2018,184
W159,barney,rubble,ABC,B1,AB1392,09/10/2018,19/04/2017,538
W160,betty,rubble,ABC,B2,AB1393,10/10/2018,13/02/2018,239
W161,nicholas,fury,CDE,B2,AB1394,11/10/2018,12/03/2018,213
W162,bruce,banner,EFG,A1,AB1395,12/10/2018,04/05/2018,161
W163,robert,downey,EFG,D2,AB1396,02/03/2017,28/10/2016,125
W164,thomas,hiddleston,HIJ,C1,AB1397,04/07/2018,07/06/2018,27
W165,natasha,romanov,HIJ,A1,AB1398,03/08/2018,01/01/2018,214
W166,wanda,maximoff,HIJ,C1,AB1399,01/10/2018,10/11/2017,325
W167,maria,hill,EFG,B2,AB1400,02/10/2018,21/07/2018,73
W168,philip,coulson,EFG,A1,AB1401,03/10/2018,24/06/2017,466
W169,fred,flintstone,EFG,D2,AB1402,04/10/2018,01/04/2017,551
W170,wilma,flintstone,EFG,D2,AB1403,05/10/2018,10/08/2017,421
W171,barney,rubble,CDE,C1,AB1404,06/10/2018,28/01/2018,251
W172,betty,rubble,HIJ,C1,AB1405,07/10/2018,31/10/2017,341
W173,nicholas,fury,CDE,B2,AB1406,08/10/2018,14/03/2018,208
W174,bruce,banner,ABC,B2,AB1407,09/10/2018,26/02/2017,590
W175,robert,downey,CDE,B2,AB1408,10/10/2018,03/07/2018,99
W176,loki,laufeyson,CDE,B1,AB1409,11/10/2018,17/03/2018,208
W177,natasha,romanov,ABC,B1,AB1410,12/10/2018,30/04/2017,530
W178,wanda,maximoff,EFG,A1,AB1411,02/03/2017,06/05/2016,300
W179,maria,hill,HIJ,A1,AB1412,04/07/2018,19/12/2017,197
W180,philip,coulson,HIJ,C1,AB1413,03/08/2018,31/12/2017,215
W181,fred,flintstone,EFG,B2,AB1414,01/10/2018,25/11/2017,310
W182,wilma,flintstone,EFG,A1,AB1415,02/10/2018,06/08/2017,422
W183,barney,rubble,EFG,D2,AB1416,03/10/2018,18/03/2017,564
W184,betty,rubble,CDE,B1,AB1417,04/10/2018,23/10/2017,346
W185,nicholas,fury,CDE,C1,AB1418,05/10/2018,07/05/2017,516
W186,bruce,banner,CDE,B2,AB1419,06/10/2018,09/10/2017,362
W187,robert,downey,EFG,D2,AB1420,07/10/2018,18/07/2018,81
W188,loki,laufeyson,EFG,D2,AB1421,08/10/2018,20/08/2018,49
W189,natasha,romanov,HIJ,C1,AB1422,09/10/2018,10/05/2017,517
W190,wanda,maximoff,HIJ,C1,AB1423,10/10/2018,24/09/2017,381
W191,maria,hill,CDE,C1,AB1424,11/10/2018,02/10/2017,374
W192,philip,coulson,ABC,B2,AB1425,12/10/2018,22/07/2017,447
W193,fred,flintstone,CDE,B2,AB1426,02/03/2017,22/06/2016,253
W194,wilma,flintstone,EFG,B2,AB1427,04/07/2018,30/07/2017,339
W195,barney,rubble,CDE,B2,AB1428,03/08/2018,22/09/2017,315
W196,betty,rubble,ABC,B1,AB1429,01/10/2018,18/05/2017,501
W197,nicholas,fury,CDE,B1,AB1430,02/10/2018,19/05/2017,501
W198,bruce,banner,EFG,A1,AB1431,03/10/2018,22/02/2017,588
W199,robert,downey,HIJ,A1,AB1432,04/10/2018,12/06/2018,114
W200,loki,laufeyson,EFG,A1,AB1433,05/10/2018,14/05/2018,144
W201,loki,laufeyson,HIJ,B1,AB1434,06/03/2018,28/01/2018,37
W202,tony,stark,EFG,A1,AB1435,05/08/2017,18/03/2017,140
